r/lambda,particle loss,particle ref index,background ref index,background loss,short background width,short background ref index,short background loss,Force
4.4,0.007,2.7,2.8,0,20,4.5,0.004,1
4.3,0.008,2.65,2.75,0,21,4,0.003,1
4.2,0.009,2.6,2.7,0,22,3.5,0.002,1
4.1,0.001,2.55,2.65,0,23,3,0.001,1
3.95,0.007,2.95,3.05,0,25,4.5,0.004,1
3.9,0.008,2.9,3,0,20,4,0.003,1
3.85,0.009,2.85,2.95,0,21,3.5,0.002,1
1.15,0,1.15,1.25,0,15,6,0,1
1.1,0,1.1,1.2,0,15.5,5.5,0,1
1.3,0,1.3,1.4,0,16,5,0,1
1.25,0,1.25,1.35,0,16.5,4.5,0,1
1.45,0,1.45,1.55,0,17,4,0,1
1.4,0,1.4,1.5,0,15,6,0,1
1.95,0,1.95,2.05,0,17,4,0,1
1.9,0,1.9,2,0,15,6,0,1
1.85,0,1.85,1.95,0,15.5,5.5,0,1
2.3,0.002,1.3,1.4,0.002,16.5,4.5,0,1
2.25,0.001,1.25,1.35,0.001,17,4,0,1
2.2,0.005,1.2,1.3,0.005,15,6,0,1
2.15,0.004,1.15,1.25,0.004,15.5,5.5,0,1
2.1,0.003,1.1,1.2,0.003,16,5,0,1
2.55,0.002,1.55,1.65,0.002,16.5,4.5,0,1
2.5,0.001,1.5,1.6,0.001,17,4,0,1
2.45,0.005,1.45,1.55,0.005,15,6,0,1
2.4,0.004,1.4,1.5,0.004,15.5,5.5,0,1
2.75,0.001,1.75,1.85,0.001,17,4,0,1
2.7,0.005,1.7,1.8,0.005,15,6,0,1
2.65,0.004,1.65,1.75,0.004,15.5,5.5,0,1
2.95,0.005,1.95,2.05,0.005,15,6,0,1
2.9,0.004,1.9,2,0.004,15.5,5.5,0,1
2.85,0.003,1.85,1.95,0.003,16,5,0,1
3.3,0.001,2.3,2.4,0.001,17,4,0,1
3.25,0.005,2.25,2.35,0.005,15,6,0,1
3.2,0.004,2.2,2.3,0.004,15.5,5.5,0,1
3.15,0.003,2.15,2.25,0.003,16,5,0,1
3.1,0.002,2.1,2.2,0.002,16.5,4.5,0,1
3.55,0.001,2.55,2.65,0.001,17,4,0,1
3.5,0.005,2.5,2.6,0.005,15,6,0,1
3.45,0.004,2.45,2.55,0.004,15.5,5.5,0,1
3.4,0.003,2.4,2.5,0.003,16,5,0,1
4.9,0.004,2.95,3.05,0.045,19.5,1.1,0.004,0
4.8,0.003,2.9,3,0.04,19,1,0.003,0
4.7,0.002,2.85,2.95,0.035,18.5,0.9,0.002,0
4.5,0.005,2.75,2.85,0.05,20,1.2,0.005,0
4.4,0.004,2.7,2.8,0.045,19.5,1.1,0.004,0
4.3,0.003,2.65,2.75,0.04,19,1,0.003,0
4.2,0.002,2.6,2.7,0.035,18.5,0.9,0.002,0
4.1,0.01,2.55,2.65,0.03,18,0.8,0.001,0
3.95,0.004,2.95,3.05,0.045,19.5,1.1,0.004,0
3.9,0.003,2.9,3,0.04,19,1,0.003,0
3.85,0.002,2.85,2.95,0.035,18.5,0.9,0.002,0
3.8,0.001,2.8,2.9,0.03,18,0.8,0.001,0
3.75,0.005,2.75,2.85,0.05,20,1.2,0.005,0
3.7,0.004,2.7,2.8,0.045,19.5,1.1,0.004,0
3.65,0.003,2.65,2.75,0.04,19,1,0.003,0
3.55,0.001,2.55,2.65,0.03,18,0.8,0.001,0
3.5,0.005,2.5,2.6,0.05,20,1.2,0.005,0
3.45,0.004,2.45,2.55,0.045,19.5,1.1,0.004,0
3.4,0.003,2.4,2.5,0.04,19,1,0.003,0
3.3,0.001,2.3,2.4,0.03,18,0.8,0.001,0
3.25,0.005,2.25,2.35,0.05,20,1.2,0.005,0
3.2,0.004,2.2,2.3,0.045,19.5,1.1,0.004,0
3.15,0.003,2.15,2.25,0.04,19,1,0.003,0
3.1,0.002,2.1,2.2,0.035,18.5,0.9,0.002,0
2.95,0.005,1.95,2.05,0.05,20,1.2,0.005,0
2.9,0.004,1.9,2,0.045,19.5,1.1,0.004,0
2.85,0.003,1.85,1.95,0.04,19,1,0.003,0
2.75,0.001,1.75,1.85,0.03,18,0.8,0.001,0
2.7,0.005,1.7,1.8,0.05,20,1.2,0.005,0
2.65,0.004,1.65,1.75,0.045,19.5,1.1,0.004,0
2.55,0.002,1.55,1.65,0.035,18.5,0.9,0.002,0
2.5,0.001,1.5,1.6,0.03,18,0.8,0.001,0
2.45,0.005,1.45,1.55,0.05,20,1.2,0.005,0
2.4,0.004,1.4,1.5,0.045,19.5,1.1,0.004,0
2.3,0.002,1.3,1.4,0.035,18.5,0.9,0.002,0
2.25,0.001,1.25,1.35,0.03,18,0.8,0.001,0
2.2,0.005,1.2,1.3,0.05,20,1.2,0.005,0
2.15,0.004,1.15,1.25,0.045,19.5,1.1,0.004,0
2.1,0.003,1.1,1.2,0.04,19,1,0.003,0
1.95,0,1.95,2.05,0.03,18,0.8,0.001,0
1.9,0,1.9,2,0.05,20,1.2,0.005,0
1.85,0,1.85,1.95,0.045,19.5,1.1,0.004,0
1.45,0,1.45,1.55,0.03,18,0.8,0.001,0
1.4,0,1.4,1.5,0.05,20,1.2,0.005,0
1.3,0,1.3,1.4,0.04,19,1,0.003,0
1.25,0,1.25,1.35,0.035,18.5,0.9,0.002,0
3.95,0.004,2.95,3.05,0.004,19.5,1.1,0.04,0
3.9,0.003,2.9,3,0.003,19,1,0.03,0
3.85,0.002,2.85,2.95,0.002,18.5,0.9,0.02,0
3.8,0.001,2.8,2.9,0.001,18,0.8,0.01,0
3.75,0.005,2.75,2.85,0.005,20,1.2,0.05,0
3.7,0.004,2.7,2.8,0.004,19.5,1.1,0.04,0
3.65,0.003,2.65,2.75,0.003,19,1,0.03,0
3.1,0,1.5,1.35,0,0,0,0,1
3.2,0,1.5,1.35,0,0,0,0,1
3.2,0,1.45,1.35,0,0,0,0,1
3.1,0,1.5,1.4,0,0,0,0,1
3.15,0,1.45,1.4,0,0,0,0,1
3.18,0,1.5,1.45,0,0,0,0,1
3.12,0,1.45,1.4,0,0,0,0,1
3,0,1.5,1.4,0,0,0,0,1
3,0,1.45,1.4,0,0,0,0,1
3,0,1.48,1.35,0,0,0,0,1
3.15,0,1.45,11,0,0,0,0,1
3.2,0,1.4,9,0,0,0,0,1
3,0,1.5,8,0,0,0,0,1
3.15,0,1.5,9.5,0,0,0,0,1
3.2,0,1.48,11,0,0,0,0,1
3,0,1.4,10.5,0,0,0,0,1
3.15,0,1.5,10.5,0,0,0,0,1
3.2,0,1.45,8,0,0,0,0,1
3.2,0,1.5,6,0,0,0,0,1
3,0,1.48,5,0,0,0,0,1
3,0,1.47,4,0,0,0,0,1
3,0,1.47,3,0,0,0,0,1
3,0,1.5,3,0,0,0,0,1
3.18,0,1.4,1,0,10,1.35,0,1
3.1,0,1.45,1,0,10,1.4,0,1
3.2,0,1.46,1,0,12,1.3,0,1
3.15,0,1.47,1,0,10,1.36,0,1
3,0,1.45,1,0,10,1.37,0,1
3.17,0,1.4,1,0,12.5,1.3,0,1
3.12,0,1.41,1,0,11,1.34,0,1
3.13,0,1.4,1,0,10.5,1.37,0,1
3.14,0,1.45,1,0,11,1.36,0,1
3.2,0,1.46,1,0,10.5,1.38,0,1
3.1,0,1.48,1,0,11,1.39,0,1
3.18,0,1.5,1,0,12,1.37,0,1
3.17,0,1.4,1,0,11,1.4,0,1
3.16,0,1.41,1,0,11.5,1.35,0,1
3.2,0,1.42,1,0,10.5,1.36,0,1
3.16,0,1.4,1,0,11,1.37,0,1
3.16,0,1.41,1,0,11.5,1.35,0,1
3.12,0,1.42,1,0,11,1.35,0,1
3.14,0,1.46,1,0,12,1.35,0,1
3.18,0,1.47,1,0,11,1.33,0,1
3.15,0,1.4,1,0,10.5,1.33,0,1
3.15,0,1.42,1,0,10.5,1.33,0,1
3.17,0,1.43,1,0,10,1.34,0,1
3.16,0,1.45,1,0,10,1.42,0,1
3.17,0,1.44,1,0,10,1.41,0,1
3.16,0,1.49,1,0,12,1.42,0,1
3.18,0,1.44,1.33,0.42,28,1.33,0,1
3.11,0,1.41,1.34,0.38,29,1.34,0,1
3.15,0,1.44,1.31,0.43,32,1.35,0,1
3.16,0,1.45,1.36,0.4,34,1.31,0,1
3.14,0,1.46,1.35,0.42,31,1.38,0,1
3.18,0,1.44,1.37,0.41,30,1.37,0,1
3.18,0,1.48,1.35,0.42,29,1.33,0,1
3.12,0,1.45,1.38,0.42,28,1.32,0,1
3.11,0,1.41,1.35,0.39,31,1.31,0,1
3.15,0,1.4,1.32,0.38,32,1.36,0,1
3.16,0,1.44,1.3,0.37,33,1.31,0,1
3.16,0,1.45,1.39,0.5,35,1.32,0,1
3.13,0,1.41,1.31,0.5,28,1.33,0,1
3.18,0,1.48,1.32,0.52,28,1.35,0,1
3.18,0,1.44,1.35,0.4,31,1.33,0,1
3.14,0,1.44,1.33,0.42,0,0,0,0
3.18,0,1.41,1.34,0.38,0,0,0,0
3.12,0,1.44,1.31,0.43,0,0,0,0
3.11,0,1.45,1.36,0.4,0,0,0,0
3.18,0,1.46,1.35,0.42,0,0,0,0
3.17,0,1.44,1.37,0.41,0,0,0,0
3.16,0,1.48,1.35,0.42,0,0,0,0
3.12,0,1.45,1.38,0.42,0,0,0,0
3.17,0,1.41,1.35,0.39,0,0,0,0
3.16,0,1.4,1.32,0.38,0,0,0,0
3.19,0,1.44,1.3,0.37,0,0,0,0
3.2,0,1.45,1.39,0.5,0,0,0,0
3.1,0,1.41,1.31,0.5,0,0,0,0
3.15,0,1.48,1.32,0.52,0,0,0,0
3.15,0,1.44,1.35,0.4,0,0,0,0
3.12,0.1,1.41,1.33,0,0,0,0,0
3.13,0.12,1.4,1.34,0,0,0,0,0
3.14,0.13,1.45,1.31,0,0,0,0,0
3.2,0.11,1.46,1.36,0,0,0,0,0
3.1,0.15,1.48,1.35,0,0,0,0,0
3.18,0.1,1.5,1.37,0,0,0,0,0
3.17,0.12,1.4,1.35,0,0,0,0,0
3.16,0.13,1.41,1.38,0,0,0,0,0
3.2,0.11,1.42,1.35,0,0,0,0,0
3.16,0.15,1.4,1.32,0,0,0,0,0
3.16,0.1,1.41,1.3,0,0,0,0,0
3.12,0.12,1.42,1.39,0,0,0,0,0
3.14,0.13,1.46,1.31,0,0,0,0,0
3.18,0.11,1.47,1.32,0,0,0,0,0
3.15,0.15,1.4,1.35,0,0,0,0,0
3.15,0.1,1.42,1.33,0,0,0,0,0
3.17,0.12,1.43,1.34,0,0,0,0,0
3.16,0.13,1.45,1.31,0,0,0,0,0
3.17,0.11,1.44,1.36,0,0,0,0,0
3.16,0.15,1.49,1.35,0,0,0,0,0
3.19,0,1.44,1.3,0,30,1.55,0.7,0
3.2,0,1.45,1.39,0,29,1.35,0.6,0
3.1,0,1.41,1.31,0,28,1.65,0.5,0
3.15,0,1.48,1.32,0,31,1.4,0.65,0
3.15,0,1.44,1.35,0,32,1.45,0.68,0
3.12,0,1.41,1.33,0,33,1.48,0.7,0
3.13,0,1.4,1.34,0,35,1.68,0.6,0
3.14,0,1.45,1.31,0,28,1.42,0.65,0
3.2,0,1.46,1.36,0,28,1.41,0.65,0
3.1,0,1.48,1.35,0,31,1.42,0.58,0
3.18,0,1.5,1.37,0,30,1.58,0.7,0
3.17,0,1.4,1.35,0,29,1.34,0.6,0
3.16,0,1.41,1.38,0,28,1.35,0.75,0
3.2,0,1.42,1.35,0,31,1.31,0.65,0
3.16,0,1.4,1.32,0,32,1.38,0.58,0
3.16,0,1.41,1.3,0,33,1.37,0.7,0
3.12,0,1.42,1.39,0,35,1.33,0.6,0
3.14,0,1.46,1.31,0,28,1.62,0.68,0
3.18,0,1.47,1.32,0,28,1.31,0.65,0
3.15,0,1.4,1.35,0,31,1.56,0.65,0
3.15,0,1.42,1.33,0,33,1.31,0.7,0
3.17,0,1.43,1.34,0,35,1.32,0.6,0
3.16,0,1.45,1.31,0,28,1.33,0.75,0
3.17,0,1.44,1.36,0,28,1.55,0.65,0
3.16,0,1.49,1.35,0,31,1.43,0.75,0
3.19,3,0.06,1.3,0,30,1.55,0,0
3.2,4,0.7,1.39,0,29,1.35,0,0
3.1,5,0.09,1.31,0,28,1.65,0,0
3.15,2.5,0.04,1.32,0,31,1.4,0,0
3.15,1,0.8,1.35,0,32,1.45,0,0
3.12,3,0.5,1.33,0,33,1.48,0,0
3.13,4,0.4,1.34,0,35,1.68,0,0
3.14,5,0.07,1.31,0,28,1.42,0,0
3.2,2.5,0.06,1.36,0,28,1.41,0,0
3.1,1,0.075,1.35,0,31,1.42,0,0
3.18,3,0.06,1.37,0,30,1.58,0,0
3.17,4,0.7,1.35,0,29,1.34,0,0
3.16,5,0.09,1.38,0,28,1.35,0,0
3.2,2.5,0.04,1.35,0,31,1.31,0,0
3.16,1,0.8,1.32,0,32,1.38,0,0
3.16,3,0.5,1.3,0,33,1.37,0,0
3.12,4,0.4,1.39,0,35,1.33,0,0
3.14,5,0.07,1.31,0,28,1.62,0,0
3.18,2.5,0.06,1.32,0,28,1.31,0,0
3.15,1,0.075,1.35,0,31,1.56,0,0
3.15,3,0.06,1.33,0,33,1.31,0,0
3.17,4,0.7,1.34,0,35,1.32,0,0
3.16,5,0.09,1.31,0,28,1.33,0,0
3.17,2.5,0.04,1.36,0,28,1.55,0,0
3.16,1,0.8,1.35,0,31,1.43,0,0
3.2,0,1.48,1.38,0,3,1,0,0
3.3,0,1.5,2.38,0,4,1,0,0
3.1,0,1.4,3,0,5,1,0,0
3.4,0,1.7,2.5,0,6,1,0,0
3.5,0,1.65,2.8,0,3,1,0,0
3.2,0,2,2,0,4,1,0,0
3.3,0,1.48,1.8,0,7,1,0,0
3.1,0,1.5,1.7,0,6,1,0,0
3.4,0,1.4,1.38,0,2,1,0,0
3.5,0,1.7,2,0,4,1,0,0
3.2,0,1.65,1.9,0,5,1,0,0
3.3,0,2,1.35,0,3.5,1,0,0
3.1,0,1.4,1.8,0,3,1,0,0
3.4,0,1.5,2.5,0,4,1,0,0
3.5,0,1.4,3,0,5,1,0,0
